v,i
1.27,-9.375530247
1.24969,-0.392100328
1.22938,-3.000634025
1.20906,-0.831518981
1.18875,1.656711444
1.16844,1.788794768
1.14813,3.789165313
1.12781,10.55259534
1.1075,4.50724449
1.08719,0.211830168
1.06688,4.152263324
1.04656,14.55609746
1.02625,17.21354159
1.00594,3.268837428
0.985625,6.457827838
0.965313,11.0856131
0.945,9.973758595
0.924687,12.84527583
0.904375,7.940488732
0.884062,5.411788892
0.86375,5.185762181
0.843438,14.52177217
0.823125,4.454806859
0.802812,10.11025487
0.7825,6.181181512
0.762188,6.932544172
0.741875,15.45462018
0.721562,6.341764733
0.70125,10.84151133
0.680937,6.129384876
0.660625,14.32937708
0.640312,10.15451844
0.62,0.908098028
0.599688,16.41601028
0.579375,16.59453133
0.559063,10.68422251
0.53875,17.41742938
0.518437,16.83891102
0.498125,17.72437111
0.477812,11.45018449
0.4575,0.365028927
0.437187,0.157746581
0.416875,0.596435028
0.396563,10.73147838
0.37625,18.52793876
0.355938,16.50430994
0.335625,15.34715826
0.315312,9.799159473
0.295,3.373358496
0.274687,4.902880014
0.254375,1.651796228
0.234063,7.414384312
0.21375,4.780772773
0.193437,12.3795233
0.173125,16.63953921
0.152813,16.90633492
0.1325,17.02109249
0.112187,18.80979573
0.091875,16.05438518
0.0715625,17.28375951
0.05125,10.18921653
0.0309375,0.554188215
0.010625,12.7609239
-0.0096875,8.449464079
-0.03,3.0273715
